file_id,filename,format,ingestion_path,demo_flow,kairos_layer,canonical_facts_referenced
1,asset_registry.csv,CSV,tabular_mdm,General,Layer 1 (MDM Backbone),"10 assets: EQ-101/102/103, V-247, XV-203/204, PG-18, HE-301/302/303"
2,alias_table.csv,CSV,tabular_mdm,General,Layer 1 (Alias Resolution),11 aliases incl. 'the old Fischer' for EQ-101
3,work_orders_eq101_family.csv,CSV,tabular,"A, General",Layer 4 / Layer 10 (Outcome Attribution),"9 work orders: EQ-101 4x failures, sister assets, counterfactual pair"
4,telemetry_eq101.csv,CSV,tabular_OT,"A, General",Layer 5 (OT Virtualization),140 readings: matching pre-failure ramps + baseline
5,oem_manual_eq1xx_seal.pdf,PDF,native_pdf,"A, General",Layer 3 (Perception - native path),Seal spec FSL-2240B; thermal cycling failure mode
6,oem_bulletin_fp_sb_2025_04.pdf,PDF,native_pdf,A,"Layer 3, Layer 4 (Authority L3)",Seal P/N revision A to B; issued 15-Jan-2025
7,oem_bulletin_mht_pb_2026_11.pdf,PDF,native_pdf,C,"Layer 3, Layer 7 (Governance)",Pressure limit revision 18.5 to 16.2 bar
8,sop_he_301_04.pdf,PDF,native_pdf,C,Layer 4 (Authority L4) / Blast Radius,References superseded 18.5 bar limit
9,sop_he_302_04.pdf,PDF,native_pdf,C,Layer 4 / Blast Radius,References superseded 18.5 bar limit
10,sop_he_303_04.pdf,PDF,native_pdf,C,Layer 4 / Blast Radius,References superseded 18.5 bar limit
11,sop_he_gen_11.pdf,PDF,native_pdf,C,Layer 4 / Blast Radius,References superseded 18.5 bar limit
12,insp_he301_2025_q4.pdf,PDF,native_pdf,C,Layer 4 / Blast Radius,Inspection record citing old spec
13,insp_he302_2025_q4.pdf,PDF,native_pdf,C,Layer 4 / Blast Radius,Inspection record citing old spec
14,mp_he_hydrotest_03.pdf,PDF,native_pdf,C,Layer 4 / Blast Radius,Hydrotest calc dependent on pressure limit
15,regulatory_clause_excerpts.pdf,PDF,native_pdf,General,Layer 4 (Authority L1 - Regulatory),Real OISD-STD-105/128/134; PESO Rules 2016; Factories Act S.31/36/87
16,ptw_v247.pdf,PDF,structured_form,B,"Layer 3 (Form Parsing), Layer 8",PTW-2026-0714 isolation boundary
17,work_order_closeout_form.pdf,PDF,structured_form,A,"Layer 3, Layer 10",WO-2025-0631 closeout; old P/N used
18,inspection_checklist.pdf,PDF,structured_form,B,Layer 3 (Form Parsing),XV-203 inspection dated 12-May-2025
19,pid_line3_isolation_boundary.png,PNG,engineering_drawing_topology,B,Layer 3 (YOLOv9+LayoutLMv3 - mocked),Isolation boundary XV-203/V-247/XV-204/PG-18
20,scanned_oem_bulletin_degraded.png,PNG,scanned_ocr,A,Layer 3 (Perception - OCR path),Same content as file 6; degraded for OCR contrast
21,scanned_inspection_degraded.png,PNG,scanned_ocr,C,Layer 3 (Perception - OCR path),Same content as file 12; degraded for OCR contrast
22,handwritten_shift_log.png,PNG,handwriting_ocr,A,Layer 3 (Handwriting Recognition),Suresh Yadav EQ-101 vibration note dated 15-Jan-2026
23,handwritten_inspection_note.png,PNG,handwriting_ocr,B,Layer 3 (Handwriting Recognition),Suresh Yadav PG-18 note dated 24-Jun-2026
24,shift_log.txt,TXT,structured_log,"A, B",Layer 3 (NLP - English),"Same 2 events as files 22/23, English only for this test pass"
25,event_work_order_creation.json,JSON,event_stream,A,Layer 8 (Event Subscription),WO-2026-0714 creation trigger
26,event_ptw_generation.json,JSON,event_stream,B,Layer 8,PTW-2026-0714 generation trigger
27,event_shift_handover.json,JSON,event_stream,General,Layer 8,End-of-shift brief content
28,event_recurring_failure.json,JSON,event_stream,General,"Layer 8, Layer 10",EQ-102 counterfactual recurrence
29,quarantine_vibration_observation.json,JSON,quarantine_record,A,"Layer 6, Layer 9",Structured version of files 22/24 entry 1
30,quarantine_pg18_deviation.json,JSON,quarantine_record,B,Layer 6,Structured version of files 23/24 entry 2
31,voice_note_transcript.txt,TXT,voice_transcription,A,"Layer 3 (Groq Whisper), Layer 9 (Elicitation)",WO-2025-0631 closeout micro-interview
32,voice_note_eq101.mp3,MP3,voice_transcription,A,Layer 3 (Groq Whisper),"Audio version of file 31's Q3 answer, English only"
