timestamp,asset_tag,instrument_tag,parameter,value,unit,window_label
2025-04-16,EQ-101,FT-3047,vibration_velocity,2.2,mm/s,pre-failure-3-ramp
2025-04-16,EQ-101,TE-3048,bearing_temperature,58.0,degC,pre-failure-3-ramp
2025-04-17,EQ-101,FT-3047,vibration_velocity,2.64,mm/s,pre-failure-3-ramp
2025-04-17,EQ-101,TE-3048,bearing_temperature,61.9,degC,pre-failure-3-ramp
2025-04-18,EQ-101,FT-3047,vibration_velocity,2.78,mm/s,pre-failure-3-ramp
2025-04-18,EQ-101,TE-3048,bearing_temperature,62.8,degC,pre-failure-3-ramp
2025-04-19,EQ-101,FT-3047,vibration_velocity,2.71,mm/s,pre-failure-3-ramp
2025-04-19,EQ-101,TE-3048,bearing_temperature,59.3,degC,pre-failure-3-ramp
2025-04-20,EQ-101,FT-3047,vibration_velocity,3.18,mm/s,pre-failure-3-ramp
2025-04-20,EQ-101,TE-3048,bearing_temperature,55.7,degC,pre-failure-3-ramp
2025-04-21,EQ-101,FT-3047,vibration_velocity,3.25,mm/s,pre-failure-3-ramp
2025-04-21,EQ-101,TE-3048,bearing_temperature,57.3,degC,pre-failure-3-ramp
2025-04-22,EQ-101,FT-3047,vibration_velocity,3.23,mm/s,pre-failure-3-ramp
2025-04-22,EQ-101,TE-3048,bearing_temperature,64.2,degC,pre-failure-3-ramp
2025-04-23,EQ-101,FT-3047,vibration_velocity,3.73,mm/s,pre-failure-3-ramp
2025-04-23,EQ-101,TE-3048,bearing_temperature,69.8,degC,pre-failure-3-ramp
2025-04-24,EQ-101,FT-3047,vibration_velocity,3.69,mm/s,pre-failure-3-ramp
2025-04-24,EQ-101,TE-3048,bearing_temperature,68.0,degC,pre-failure-3-ramp
2025-04-25,EQ-101,FT-3047,vibration_velocity,3.79,mm/s,pre-failure-3-ramp
2025-04-25,EQ-101,TE-3048,bearing_temperature,60.4,degC,pre-failure-3-ramp
2025-04-26,EQ-101,FT-3047,vibration_velocity,4.26,mm/s,pre-failure-3-ramp
2025-04-26,EQ-101,TE-3048,bearing_temperature,56.0,degC,pre-failure-3-ramp
2025-04-27,EQ-101,FT-3047,vibration_velocity,4.1,mm/s,pre-failure-3-ramp
2025-04-27,EQ-101,TE-3048,bearing_temperature,61.3,degC,pre-failure-3-ramp
2025-04-28,EQ-101,FT-3047,vibration_velocity,4.35,mm/s,pre-failure-3-ramp
2025-04-28,EQ-101,TE-3048,bearing_temperature,72.2,degC,pre-failure-3-ramp
2025-04-29,EQ-101,FT-3047,vibration_velocity,4.78,mm/s,pre-failure-3-ramp
2025-04-29,EQ-101,TE-3048,bearing_temperature,77.4,degC,pre-failure-3-ramp
2025-04-30,EQ-101,FT-3047,vibration_velocity,4.48,mm/s,pre-failure-3-ramp
2025-04-30,EQ-101,TE-3048,bearing_temperature,71.1,degC,pre-failure-3-ramp
2025-05-01,EQ-101,FT-3047,vibration_velocity,4.93,mm/s,pre-failure-3-ramp
2025-05-01,EQ-101,TE-3048,bearing_temperature,60.0,degC,pre-failure-3-ramp
2025-05-02,EQ-101,FT-3047,vibration_velocity,5.28,mm/s,pre-failure-3-ramp
2025-05-02,EQ-101,TE-3048,bearing_temperature,57.3,degC,pre-failure-3-ramp
2025-05-03,EQ-101,FT-3047,vibration_velocity,4.84,mm/s,pre-failure-3-ramp
2025-05-03,EQ-101,TE-3048,bearing_temperature,67.8,degC,pre-failure-3-ramp
2025-05-04,EQ-101,FT-3047,vibration_velocity,5.52,mm/s,pre-failure-3-ramp
2025-05-04,EQ-101,TE-3048,bearing_temperature,81.4,degC,pre-failure-3-ramp
2025-05-05,EQ-101,FT-3047,vibration_velocity,5.75,mm/s,pre-failure-3-ramp
2025-05-05,EQ-101,TE-3048,bearing_temperature,83.6,degC,pre-failure-3-ramp
2025-05-06,EQ-101,FT-3047,vibration_velocity,5.17,mm/s,pre-failure-3-ramp
2025-05-06,EQ-101,TE-3048,bearing_temperature,71.7,degC,pre-failure-3-ramp
2025-05-07,EQ-101,FT-3047,vibration_velocity,6.1,mm/s,pre-failure-3-ramp
2025-05-07,EQ-101,TE-3048,bearing_temperature,58.8,degC,pre-failure-3-ramp
2025-05-08,EQ-101,FT-3047,vibration_velocity,6.19,mm/s,pre-failure-3-ramp
2025-05-08,EQ-101,TE-3048,bearing_temperature,60.4,degC,pre-failure-3-ramp
2025-05-09,EQ-101,FT-3047,vibration_velocity,5.77,mm/s,pre-failure-3-ramp
2025-05-09,EQ-101,TE-3048,bearing_temperature,76.6,degC,pre-failure-3-ramp
2025-05-10,EQ-101,FT-3047,vibration_velocity,6.68,mm/s,pre-failure-3-ramp
2025-05-10,EQ-101,TE-3048,bearing_temperature,90.8,degC,pre-failure-3-ramp
2025-05-11,EQ-101,FT-3047,vibration_velocity,6.6,mm/s,pre-failure-3-ramp
2025-05-11,EQ-101,TE-3048,bearing_temperature,87.6,degC,pre-failure-3-ramp
2025-05-12,EQ-101,FT-3047,vibration_velocity,6.38,mm/s,pre-failure-3-ramp
2025-05-12,EQ-101,TE-3048,bearing_temperature,70.1,degC,pre-failure-3-ramp
2025-05-13,EQ-101,FT-3047,vibration_velocity,7.24,mm/s,pre-failure-3-ramp
2025-05-13,EQ-101,TE-3048,bearing_temperature,58.0,degC,pre-failure-3-ramp
2025-05-14,EQ-101,FT-3047,vibration_velocity,6.97,mm/s,pre-failure-3-ramp
2025-05-14,EQ-101,TE-3048,bearing_temperature,66.1,degC,pre-failure-3-ramp
2025-05-15,EQ-101,FT-3047,vibration_velocity,7.01,mm/s,pre-failure-3-ramp
2025-05-15,EQ-101,TE-3048,bearing_temperature,87.3,degC,pre-failure-3-ramp
2025-08-01,EQ-101,FT-3047,vibration_velocity,2.2,mm/s,post-repair-baseline
2025-08-01,EQ-101,TE-3048,bearing_temperature,58.0,degC,post-repair-baseline
2025-08-02,EQ-101,FT-3047,vibration_velocity,2.34,mm/s,post-repair-baseline
2025-08-02,EQ-101,TE-3048,bearing_temperature,59.8,degC,post-repair-baseline
2025-08-03,EQ-101,FT-3047,vibration_velocity,2.4,mm/s,post-repair-baseline
2025-08-03,EQ-101,TE-3048,bearing_temperature,60.5,degC,post-repair-baseline
2025-08-04,EQ-101,FT-3047,vibration_velocity,2.34,mm/s,post-repair-baseline
2025-08-04,EQ-101,TE-3048,bearing_temperature,59.7,degC,post-repair-baseline
2025-08-05,EQ-101,FT-3047,vibration_velocity,2.21,mm/s,post-repair-baseline
2025-08-05,EQ-101,TE-3048,bearing_temperature,57.9,degC,post-repair-baseline
2025-08-06,EQ-101,FT-3047,vibration_velocity,2.35,mm/s,post-repair-baseline
2025-08-06,EQ-101,TE-3048,bearing_temperature,56.1,degC,post-repair-baseline
2025-08-07,EQ-101,FT-3047,vibration_velocity,2.4,mm/s,post-repair-baseline
2025-08-07,EQ-101,TE-3048,bearing_temperature,55.5,degC,post-repair-baseline
2025-08-08,EQ-101,FT-3047,vibration_velocity,2.33,mm/s,post-repair-baseline
2025-08-08,EQ-101,TE-3048,bearing_temperature,56.4,degC,post-repair-baseline
2025-08-09,EQ-101,FT-3047,vibration_velocity,2.22,mm/s,post-repair-baseline
2025-08-09,EQ-101,TE-3048,bearing_temperature,58.3,degC,post-repair-baseline
2025-08-10,EQ-101,FT-3047,vibration_velocity,2.36,mm/s,post-repair-baseline
2025-08-10,EQ-101,TE-3048,bearing_temperature,60.0,degC,post-repair-baseline
2026-06-16,EQ-101,FT-3047,vibration_velocity,2.2,mm/s,current-live-ramp-matches-2025-signature
2026-06-16,EQ-101,TE-3048,bearing_temperature,58.0,degC,current-live-ramp-matches-2025-signature
2026-06-17,EQ-101,FT-3047,vibration_velocity,2.64,mm/s,current-live-ramp-matches-2025-signature
2026-06-17,EQ-101,TE-3048,bearing_temperature,61.9,degC,current-live-ramp-matches-2025-signature
2026-06-18,EQ-101,FT-3047,vibration_velocity,2.78,mm/s,current-live-ramp-matches-2025-signature
2026-06-18,EQ-101,TE-3048,bearing_temperature,62.8,degC,current-live-ramp-matches-2025-signature
2026-06-19,EQ-101,FT-3047,vibration_velocity,2.71,mm/s,current-live-ramp-matches-2025-signature
2026-06-19,EQ-101,TE-3048,bearing_temperature,59.3,degC,current-live-ramp-matches-2025-signature
2026-06-20,EQ-101,FT-3047,vibration_velocity,3.18,mm/s,current-live-ramp-matches-2025-signature
2026-06-20,EQ-101,TE-3048,bearing_temperature,55.7,degC,current-live-ramp-matches-2025-signature
2026-06-21,EQ-101,FT-3047,vibration_velocity,3.25,mm/s,current-live-ramp-matches-2025-signature
2026-06-21,EQ-101,TE-3048,bearing_temperature,57.3,degC,current-live-ramp-matches-2025-signature
2026-06-22,EQ-101,FT-3047,vibration_velocity,3.23,mm/s,current-live-ramp-matches-2025-signature
2026-06-22,EQ-101,TE-3048,bearing_temperature,64.2,degC,current-live-ramp-matches-2025-signature
2026-06-23,EQ-101,FT-3047,vibration_velocity,3.73,mm/s,current-live-ramp-matches-2025-signature
2026-06-23,EQ-101,TE-3048,bearing_temperature,69.8,degC,current-live-ramp-matches-2025-signature
2026-06-24,EQ-101,FT-3047,vibration_velocity,3.69,mm/s,current-live-ramp-matches-2025-signature
2026-06-24,EQ-101,TE-3048,bearing_temperature,68.0,degC,current-live-ramp-matches-2025-signature
2026-06-25,EQ-101,FT-3047,vibration_velocity,3.79,mm/s,current-live-ramp-matches-2025-signature
2026-06-25,EQ-101,TE-3048,bearing_temperature,60.4,degC,current-live-ramp-matches-2025-signature
2026-06-26,EQ-101,FT-3047,vibration_velocity,4.26,mm/s,current-live-ramp-matches-2025-signature
2026-06-26,EQ-101,TE-3048,bearing_temperature,56.0,degC,current-live-ramp-matches-2025-signature
2026-06-27,EQ-101,FT-3047,vibration_velocity,4.1,mm/s,current-live-ramp-matches-2025-signature
2026-06-27,EQ-101,TE-3048,bearing_temperature,61.3,degC,current-live-ramp-matches-2025-signature
2026-06-28,EQ-101,FT-3047,vibration_velocity,4.35,mm/s,current-live-ramp-matches-2025-signature
2026-06-28,EQ-101,TE-3048,bearing_temperature,72.2,degC,current-live-ramp-matches-2025-signature
2026-06-29,EQ-101,FT-3047,vibration_velocity,4.78,mm/s,current-live-ramp-matches-2025-signature
2026-06-29,EQ-101,TE-3048,bearing_temperature,77.4,degC,current-live-ramp-matches-2025-signature
2026-06-30,EQ-101,FT-3047,vibration_velocity,4.48,mm/s,current-live-ramp-matches-2025-signature
2026-06-30,EQ-101,TE-3048,bearing_temperature,71.1,degC,current-live-ramp-matches-2025-signature
2026-07-01,EQ-101,FT-3047,vibration_velocity,4.93,mm/s,current-live-ramp-matches-2025-signature
2026-07-01,EQ-101,TE-3048,bearing_temperature,60.0,degC,current-live-ramp-matches-2025-signature
2026-07-02,EQ-101,FT-3047,vibration_velocity,5.28,mm/s,current-live-ramp-matches-2025-signature
2026-07-02,EQ-101,TE-3048,bearing_temperature,57.3,degC,current-live-ramp-matches-2025-signature
2026-07-03,EQ-101,FT-3047,vibration_velocity,4.84,mm/s,current-live-ramp-matches-2025-signature
2026-07-03,EQ-101,TE-3048,bearing_temperature,67.8,degC,current-live-ramp-matches-2025-signature
2026-07-04,EQ-101,FT-3047,vibration_velocity,5.52,mm/s,current-live-ramp-matches-2025-signature
2026-07-04,EQ-101,TE-3048,bearing_temperature,81.4,degC,current-live-ramp-matches-2025-signature
2026-07-05,EQ-101,FT-3047,vibration_velocity,5.75,mm/s,current-live-ramp-matches-2025-signature
2026-07-05,EQ-101,TE-3048,bearing_temperature,83.6,degC,current-live-ramp-matches-2025-signature
2026-07-06,EQ-101,FT-3047,vibration_velocity,5.17,mm/s,current-live-ramp-matches-2025-signature
2026-07-06,EQ-101,TE-3048,bearing_temperature,71.7,degC,current-live-ramp-matches-2025-signature
2026-07-07,EQ-101,FT-3047,vibration_velocity,6.1,mm/s,current-live-ramp-matches-2025-signature
2026-07-07,EQ-101,TE-3048,bearing_temperature,58.8,degC,current-live-ramp-matches-2025-signature
2026-07-08,EQ-101,FT-3047,vibration_velocity,6.19,mm/s,current-live-ramp-matches-2025-signature
2026-07-08,EQ-101,TE-3048,bearing_temperature,60.4,degC,current-live-ramp-matches-2025-signature
2026-07-09,EQ-101,FT-3047,vibration_velocity,5.77,mm/s,current-live-ramp-matches-2025-signature
2026-07-09,EQ-101,TE-3048,bearing_temperature,76.6,degC,current-live-ramp-matches-2025-signature
2026-07-10,EQ-101,FT-3047,vibration_velocity,6.68,mm/s,current-live-ramp-matches-2025-signature
2026-07-10,EQ-101,TE-3048,bearing_temperature,90.8,degC,current-live-ramp-matches-2025-signature
2026-07-11,EQ-101,FT-3047,vibration_velocity,6.6,mm/s,current-live-ramp-matches-2025-signature
2026-07-11,EQ-101,TE-3048,bearing_temperature,87.6,degC,current-live-ramp-matches-2025-signature
2026-07-12,EQ-101,FT-3047,vibration_velocity,6.38,mm/s,current-live-ramp-matches-2025-signature
2026-07-12,EQ-101,TE-3048,bearing_temperature,70.1,degC,current-live-ramp-matches-2025-signature
2026-07-13,EQ-101,FT-3047,vibration_velocity,7.24,mm/s,current-live-ramp-matches-2025-signature
2026-07-13,EQ-101,TE-3048,bearing_temperature,58.0,degC,current-live-ramp-matches-2025-signature
2026-07-14,EQ-101,FT-3047,vibration_velocity,6.97,mm/s,current-live-ramp-matches-2025-signature
2026-07-14,EQ-101,TE-3048,bearing_temperature,66.1,degC,current-live-ramp-matches-2025-signature
2026-07-15,EQ-101,FT-3047,vibration_velocity,7.01,mm/s,current-live-ramp-matches-2025-signature
2026-07-15,EQ-101,TE-3048,bearing_temperature,87.3,degC,current-live-ramp-matches-2025-signature
